Indicators,Series Code,Country Name,Country Code,2010
CO2 emissions (kt),EN.ATM.CO2E.KT,Afghanistan,AFG,8576.15
CO2 emissions (kt),EN.ATM.CO2E.KT,Albania,ALB,4785.4
CO2 emissions (kt),EN.ATM.CO2E.KT,Algeria,DZA,114179.4
CO2 emissions (kt),EN.ATM.CO2E.KT,American Samoa,ASM,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Andorra,AND,516.624
CO2 emissions (kt),EN.ATM.CO2E.KT,Angola,AGO,22801.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Antigua and Barbuda,ATG,465.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Argentina,ARG,167226.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Armenia,ARM,4336.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Aruba,ABW,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Australia,AUS,395993.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Austria,AUT,69965.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Azerbaijan,AZE,24311.9
CO2 emissions (kt),EN.ATM.CO2E.KT,"Bahamas, The",BHS,1979.4
CO2 emissions (kt),EN.ATM.CO2E.KT,Bahrain,BHR,25965.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Bangladesh,BGD,50487.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Barbados,BRB,1481.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Belarus,BLR,61443.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Belgium,BEL,106872.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Belize,BLZ,531.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Benin,BEN,4825.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Bermuda,BMU,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bhutan,BTN,493.18
CO2 emissions (kt),EN.ATM.CO2E.KT,Bolivia,BOL,14702.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Bosnia and Herzegovina,BIH,20842.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Botswana,BWA,3371.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Brazil,BRA,397931.1
CO2 emissions (kt),EN.ATM.CO2E.KT,British Virgin Islands,VGB,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Brunei Darussalam,BRN,7170.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Bulgaria,BGR,44740.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Burkina Faso,BFA,2094.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Burundi,BDI,323.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Cabo Verde,CPV,540.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Cambodia,KHM,5140.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Cameroon,CMR,7014.4
CO2 emissions (kt),EN.ATM.CO2E.KT,Canada,CAN,537091.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Cayman Islands,CYM,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Central African Republic,CAF,174.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Chad,TCD,1190
CO2 emissions (kt),EN.ATM.CO2E.KT,Channel Islands,CHI,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,69749.1
CO2 emissions (kt),EN.ATM.CO2E.KT,China,CHN,8474922.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Colombia,COL,64146.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Comoros,COM,167.8
CO2 emissions (kt),EN.ATM.CO2E.KT,"Congo, Dem. Rep.",COD,2653.9
CO2 emissions (kt),EN.ATM.CO2E.KT,"Congo, Rep.",COG,5423.35
CO2 emissions (kt),EN.ATM.CO2E.KT,Costa Rica,CRI,7105.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Cote d'Ivoire,CIV,6350.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Croatia,HRV,19457.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Cuba,CUB,28110
CO2 emissions (kt),EN.ATM.CO2E.KT,Curacao,CUW,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cyprus,CYP,7898.4
CO2 emissions (kt),EN.ATM.CO2E.KT,Czechia,CZE,114167.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Denmark,DNK,48124.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Djibouti,DJI,519.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Dominica,DMA,172.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Dominican Republic,DOM,20680.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Ecuador,ECU,37254
CO2 emissions (kt),EN.ATM.CO2E.KT,"Egypt, Arab Rep.",EGY,200313.3
CO2 emissions (kt),EN.ATM.CO2E.KT,El Salvador,SLV,6539.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Equatorial Guinea,GNQ,6047.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Eritrea,ERI,502.95
CO2 emissions (kt),EN.ATM.CO2E.KT,Estonia,EST,18500.4
CO2 emissions (kt),EN.ATM.CO2E.KT,Eswatini,SWZ,849.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Ethiopia,ETH,6473.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Faroe Islands,FRO,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Fiji,FJI,1126.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Finland,FIN,62526.4
CO2 emissions (kt),EN.ATM.CO2E.KT,France,FRA,347940.1
CO2 emissions (kt),EN.ATM.CO2E.KT,French Polynesia,PYF,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Gabon,GAB,5762.09
CO2 emissions (kt),EN.ATM.CO2E.KT,"Gambia, The",GMB,434.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Georgia,GEO,5322.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Germany,DEU,773069.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Ghana,GHA,10382.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Gibraltar,GIB,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Greece,GRC,87578.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Greenland,GRL,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Grenada,GRD,273.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Guam,GUM,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Guatemala,GTM,11477.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Guinea,GIN,2502.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Guinea-Bissau,GNB,241
CO2 emissions (kt),EN.ATM.CO2E.KT,Guyana,GUY,1759.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Haiti,HTI,2458.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Honduras,HND,7926.8
CO2 emissions (kt),EN.ATM.CO2E.KT,"Hong Kong SAR, China",HKG,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Hungary,HUN,47880.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Iceland,ISL,1959.124
CO2 emissions (kt),EN.ATM.CO2E.KT,India,IND,1659983
CO2 emissions (kt),EN.ATM.CO2E.KT,Indonesia,IDN,415536.6
CO2 emissions (kt),EN.ATM.CO2E.KT,"Iran, Islamic Rep.",IRN,541171.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Iraq,IRQ,108550.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Ireland,IRL,40347.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Isle of Man,IMN,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Israel,ISR,70520.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Italy,ITA,405272.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Jamaica,JAM,7479.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Japan,JPN,1157241.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Jordan,JOR,20196.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Kazakhstan,KAZ,229702.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Kenya,KEN,13424.4
CO2 emissions (kt),EN.ATM.CO2E.KT,Kiribati,KIR,54.3
CO2 emissions (kt),EN.ATM.CO2E.KT,"Korea, Dem. People's Rep.",PRK,51689.8
CO2 emissions (kt),EN.ATM.CO2E.KT,"Korea, Rep.",KOR,575215.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Kosovo,XKX,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Kuwait,KWT,80725.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Kyrgyz Republic,KGZ,6394.4
CO2 emissions (kt),EN.ATM.CO2E.KT,Lao PDR,LAO,2877.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Latvia,LVA,8518.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Lebanon,LBN,20864.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Lesotho,LSO,2158.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Liberia,LBR,729.76
CO2 emissions (kt),EN.ATM.CO2E.KT,Libya,LBY,59559.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Liechtenstein,LIE,190.830439
CO2 emissions (kt),EN.ATM.CO2E.KT,Lithuania,LTU,12603
CO2 emissions (kt),EN.ATM.CO2E.KT,Luxembourg,LUX,11029.1
CO2 emissions (kt),EN.ATM.CO2E.KT,"Macao SAR, China",MAC,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Madagascar,MDG,1869.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Malawi,MWI,984.46
CO2 emissions (kt),EN.ATM.CO2E.KT,Malaysia,MYS,199867
CO2 emissions (kt),EN.ATM.CO2E.KT,Maldives,MDV,963
CO2 emissions (kt),EN.ATM.CO2E.KT,Mali,MLI,2154
CO2 emissions (kt),EN.ATM.CO2E.KT,Malta,MLT,2586.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Marshall Islands,MHL,140.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Mauritania,MRT,2073.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Mauritius,MUS,3661.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Mexico,MEX,462869.5
CO2 emissions (kt),EN.ATM.CO2E.KT,"Micronesia, Fed. Sts.",FSM,105.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Moldova,MDA,8295.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Monaco,MCO,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Mongolia,MNG,14311.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Montenegro,MNE,2584.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Morocco,MAR,51749.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Mozambique,MOZ,2680.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Myanmar,MMR,8131.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Namibia,NAM,3103.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Nauru,NRU,42.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Nepal,NPL,4640.9
CO2 emissions (kt),EN.ATM.CO2E.KT,Netherlands,NLD,171110.5
CO2 emissions (kt),EN.ATM.CO2E.KT,New Caledonia,NCL,..
CO2 emissions (kt),EN.ATM.CO2E.KT,New Zealand,NZL,31049.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Nicaragua,NIC,4513.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Niger,NER,1361.057
CO2 emissions (kt),EN.ATM.CO2E.KT,Nigeria,NGA,90055.2
CO2 emissions (kt),EN.ATM.CO2E.KT,North Macedonia,MKD,8329.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Northern Mariana Islands,MNP,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Norway,NOR,40116.4
CO2 emissions (kt),EN.ATM.CO2E.KT,Oman,OMN,47076.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Pakistan,PAK,140378.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Palau,PLW,214.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Panama,PAN,9190.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Papua New Guinea,PNG,5042
CO2 emissions (kt),EN.ATM.CO2E.KT,Paraguay,PRY,5043.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Peru,PER,44998.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Philippines,PHL,81917.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Poland,POL,313739.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Portugal,PRT,50937.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Puerto Rico,PRI,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Qatar,QAT,60912.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Romania,ROU,77601.9
CO2 emissions (kt),EN.ATM.CO2E.KT,Russian Federation,RUS,1617827.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Rwanda,RWA,703.68
CO2 emissions (kt),EN.ATM.CO2E.KT,Samoa,WSM,192.4
CO2 emissions (kt),EN.ATM.CO2E.KT,San Marino,SMR,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Sao Tome and Principe,STP,102.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Saudi Arabia,SAU,446131.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Senegal,SEN,7026.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Serbia,SRB,47103.9
CO2 emissions (kt),EN.ATM.CO2E.KT,Seychelles,SYC,443.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Sierra Leone,SLE,560.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Singapore,SGP,42413.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Sint Maarten (Dutch part),SXM,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Slovak Republic,SVK,35432.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Slovenia,SVN,15777.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Solomon Islands,SLB,342.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Somalia,SOM,631.2
CO2 emissions (kt),EN.ATM.CO2E.KT,South Africa,ZAF,425548.4
CO2 emissions (kt),EN.ATM.CO2E.KT,South Sudan,SSD,1313.250224
CO2 emissions (kt),EN.ATM.CO2E.KT,Spain,ESP,274140.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Sri Lanka,LKA,13071.8
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Kitts and Nevis,KNA,229.2
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Lucia,LCA,507.7
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Martin (French part),MAF,..
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Vincent and the Grenadines,VCT,233.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Sudan,SDN,16427.4
CO2 emissions (kt),EN.ATM.CO2E.KT,Suriname,SUR,1744.87
CO2 emissions (kt),EN.ATM.CO2E.KT,Sweden,SWE,47985.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Switzerland,CHE,45207.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Syrian Arab Republic,SYR,61090.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Tajikistan,TJK,2446.9
CO2 emissions (kt),EN.ATM.CO2E.KT,Tanzania,TZA,6909.9
CO2 emissions (kt),EN.ATM.CO2E.KT,Thailand,THA,240768.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Timor-Leste,TLS,244.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Togo,TGO,2630.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Tonga,TON,117.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Trinidad and Tobago,TTO,21443
CO2 emissions (kt),EN.ATM.CO2E.KT,Tunisia,TUN,28321.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Turkiye,TUR,297814
CO2 emissions (kt),EN.ATM.CO2E.KT,Turkmenistan,TKM,59175.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Turks and Caicos Islands,TCA,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Tuvalu,TUV,9.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Uganda,UGA,3332
CO2 emissions (kt),EN.ATM.CO2E.KT,Ukraine,UKR,268924.6
CO2 emissions (kt),EN.ATM.CO2E.KT,United Arab Emirates,ARE,162788.9
CO2 emissions (kt),EN.ATM.CO2E.KT,United Kingdom,GBR,482646.2
CO2 emissions (kt),EN.ATM.CO2E.KT,United States,USA,5392109.4
CO2 emissions (kt),EN.ATM.CO2E.KT,Uruguay,URY,6283.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Uzbekistan,UZB,126240.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Vanuatu,VUT,127.1
CO2 emissions (kt),EN.ATM.CO2E.KT,"Venezuela, RB",VEN,164101.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Viet Nam,VNM,151413.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Virgin Islands (U.S.),VIR,..
CO2 emissions (kt),EN.ATM.CO2E.KT,West Bank and Gaza,PSE,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Yemen, Rep.",YEM,25431.9
CO2 emissions (kt),EN.ATM.CO2E.KT,Zambia,ZMB,2656.9
CO2 emissions (kt),EN.ATM.CO2E.KT,Zimbabwe,ZWE,9518
"Population, total",SP.POP.TOTL,Afghanistan,AFG,28189672
"Population, total",SP.POP.TOTL,Albania,ALB,2913021
"Population, total",SP.POP.TOTL,Algeria,DZA,35856344
"Population, total",SP.POP.TOTL,American Samoa,ASM,54849
"Population, total",SP.POP.TOTL,Andorra,AND,71519
"Population, total",SP.POP.TOTL,Angola,AGO,23364185
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,85695
"Population, total",SP.POP.TOTL,Argentina,ARG,40788453
"Population, total",SP.POP.TOTL,Armenia,ARM,2946293
"Population, total",SP.POP.TOTL,Aruba,ABW,100341
"Population, total",SP.POP.TOTL,Australia,AUS,22031750
"Population, total",SP.POP.TOTL,Austria,AUT,8363404
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9054332
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,373272
"Population, total",SP.POP.TOTL,Bahrain,BHR,1213645
"Population, total",SP.POP.TOTL,Bangladesh,BGD,148391139
"Population, total",SP.POP.TOTL,Barbados,BRB,274711
"Population, total",SP.POP.TOTL,Belarus,BLR,9483836
"Population, total",SP.POP.TOTL,Belgium,BEL,10895586
"Population, total",SP.POP.TOTL,Belize,BLZ,322106
"Population, total",SP.POP.TOTL,Benin,BEN,9445710
"Population, total",SP.POP.TOTL,Bermuda,BMU,65124
"Population, total",SP.POP.TOTL,Bhutan,BTN,705516
"Population, total",SP.POP.TOTL,Bolivia,BOL,10223270
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3811088
"Population, total",SP.POP.TOTL,Botswana,BWA,2091664
"Population, total",SP.POP.TOTL,Brazil,BRA,196353492
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,27556
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,396053
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7395599
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,16116845
"Population, total",SP.POP.TOTL,Burundi,BDI,9126605
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,521212
"Population, total",SP.POP.TOTL,Cambodia,KHM,14363532
"Population, total",SP.POP.TOTL,Cameroon,CMR,19878036
"Population, total",SP.POP.TOTL,Canada,CAN,34004889
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,54074
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4660067
"Population, total",SP.POP.TOTL,Chad,TCD,11894727
"Population, total",SP.POP.TOTL,Channel Islands,CHI,156933
"Population, total",SP.POP.TOTL,Chile,CHL,17004162
"Population, total",SP.POP.TOTL,China,CHN,1337705000
"Population, total",SP.POP.TOTL,Colombia,COL,44816108
"Population, total",SP.POP.TOTL,Comoros,COM,656024
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,66391257
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4437884
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4622252
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,21120042
"Population, total",SP.POP.TOTL,Croatia,HRV,4295427
"Population, total",SP.POP.TOTL,Cuba,CUB,11290417
"Population, total",SP.POP.TOTL,Curacao,CUW,148703
"Population, total",SP.POP.TOTL,Cyprus,CYP,1129686
"Population, total",SP.POP.TOTL,Czechia,CZE,10474410
"Population, total",SP.POP.TOTL,Denmark,DNK,5547683
"Population, total",SP.POP.TOTL,Djibouti,DJI,919199
"Population, total",SP.POP.TOTL,Dominica,DMA,68755
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,9775755
"Population, total",SP.POP.TOTL,Ecuador,ECU,14989585
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,87252413
"Population, total",SP.POP.TOTL,El Salvador,SLV,6114034
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1094524
"Population, total",SP.POP.TOTL,Eritrea,ERI,3147727
"Population, total",SP.POP.TOTL,Estonia,EST,1331475
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1099920
"Population, total",SP.POP.TOTL,Ethiopia,ETH,89237791
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48410
"Population, total",SP.POP.TOTL,Fiji,FJI,905169
"Population, total",SP.POP.TOTL,Finland,FIN,5363352
"Population, total",SP.POP.TOTL,France,FRA,65030575
"Population, total",SP.POP.TOTL,French Polynesia,PYF,283788
"Population, total",SP.POP.TOTL,Gabon,GAB,1711105
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1937275
